Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
SP1,02/10/2015,Celta,Getafe,0,0,D,0.78,0.67,0.78,0.0,0,0,2.5,1.17,1.0,1.33,3.33,1.33,0.33,2.0,2.33,1.0,1.33,0.67,3.33,1.33,0.33,2.0
SP1,03/10/2015,Espanol,Sp Gijon,1,2,A,0.67,0.33,0.67,0.44,0,1,1.0,2.33,0.83,1.17,0.67,2.0,1.33,1.33,1.33,1.67,1.67,2.0,0.67,2.0,1.33,1.33
SP1,03/10/2015,Granada,La Coruna,1,1,D,0.0,0.67,0.0,0.78,0,0,0.67,2.0,1.83,1.0,0.67,3.0,2.0,1.0,0.0,1.67,2.33,1.33,0.67,3.0,2.0,1.0
SP1,03/10/2015,Las Palmas,Eibar,0,2,A,0.33,0.22,0.44,0.56,1,0,1.0,1.17,1.33,1.0,0.67,0.33,1.67,1.0,1.0,1.0,1.0,1.67,0.67,0.33,1.67,1.0
SP1,03/10/2015,Malaga,Sociedad,3,1,H,0.11,0.44,0.22,0.44,0,0,0.0,0.5,0.83,0.67,0.0,0.33,1.0,0.33,0.0,0.67,1.67,1.0,0.0,0.33,1.0,0.33
SP1,03/10/2015,Sevilla,Barcelona,2,1,H,0.33,0.67,0.33,0.67,0,0,0.83,1.67,1.83,1.17,1.33,2.33,1.33,1.67,1.33,2.0,2.33,2.0,1.33,2.33,1.33,1.67
SP1,04/10/2015,Ath Bilbao,Valencia,3,1,H,0.11,0.44,0.33,0.44,0,0,0.83,1.5,0.5,0.33,1.33,1.33,0.33,0.33,0.67,1.67,0.33,0.33,1.33,1.33,0.33,0.33
SP1,04/10/2015,Ath Madrid,Real Madrid,1,1,D,0.67,0.78,0.67,0.78,0,0,1.5,0.5,2.33,0.17,1.33,0.67,2.67,0.33,1.33,0.33,1.0,0.33,1.33,0.67,2.67,0.33
SP1,04/10/2015,Levante,Villarreal,1,0,H,0.11,1.0,0.22,0.78,0,0,0.83,2.0,2.0,0.67,1.33,1.67,1.67,0.67,1.0,3.0,1.67,0.33,1.33,1.67,1.67,0.67
SP1,04/10/2015,Vallecano,Betis,0,2,A,0.67,0.44,0.44,0.44,0,1,1.0,1.67,0.83,1.5,1.0,1.33,0.67,2.0,1.67,1.33,1.0,1.0,1.0,1.33,0.67,2.0
