Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
E3,10/09/2016,Carlisle,Leyton Orient,2,2,D,0.56,0.67,0.56,0.78,0,0,1.17,0.83,1.5,1.0,1.0,0.67,1.67,1.0,1.33,1.0,1.67,1.33,1.0,0.67,1.67,1.0
E3,10/09/2016,Colchester,Blackpool,3,2,H,0.33,0.44,0.67,0.44,0,0,1.67,1.33,1.17,0.67,2.33,1.67,1.67,1.0,1.33,1.67,1.0,0.33,2.33,1.67,1.67,1.0
E3,10/09/2016,Crewe,Exeter,2,0,H,0.44,0.67,0.56,0.67,0,0,1.33,1.33,1.0,1.5,1.67,1.33,1.67,1.67,1.0,1.33,1.67,1.33,1.67,1.33,1.67,1.67
E3,10/09/2016,Luton,Grimsby,1,2,A,0.67,0.44,0.78,0.11,0,0,2.33,0.83,2.17,1.83,2.33,1.0,1.67,2.33,2.67,1.0,2.67,2.0,2.33,1.0,1.67,2.33
E3,10/09/2016,Mansfield,Barnet,0,1,A,0.44,0.22,0.56,0.33,0,0,1.17,1.0,1.0,0.8,0.67,0.33,1.0,1.0,0.67,1.0,0.67,1.0,0.67,0.33,1.0,1.0
E3,10/09/2016,Morecambe,Doncaster,1,5,A,0.67,0.67,0.67,0.33,0,0,1.5,1.17,1.67,1.17,1.67,1.0,1.33,1.67,1.67,1.33,2.0,1.0,1.67,1.0,1.33,1.67
E3,10/09/2016,Newport County,Cheltenham,2,2,D,0.22,0.33,0.17,0.22,0,0,1.4,1.6,0.83,0.83,1.5,2.0,0.67,1.0,1.33,1.67,0.67,0.67,1.5,2.0,0.67,1.0
E3,10/09/2016,Notts County,Accrington,0,2,A,0.78,0.11,0.22,0.22,0,0,1.5,1.5,1.33,1.83,1.33,1.67,0.67,1.33,2.33,1.33,1.33,2.0,1.33,1.67,0.67,1.33
E3,10/09/2016,Plymouth,Cambridge,2,1,H,1.0,0.22,0.67,0.11,0,0,1.0,0.83,0.5,1.5,1.0,1.0,0.0,1.0,1.33,0.0,0.67,1.67,1.0,1.0,0.0,1.0
E3,10/09/2016,Portsmouth,Wycombe,4,2,H,1.0,0.11,0.78,0.11,0,0,1.17,0.5,0.67,1.5,2.0,0.33,0.33,1.67,2.0,0.0,0.33,2.0,2.0,0.33,0.33,1.67
E3,10/09/2016,Stevenage,Crawley Town,2,1,H,0.67,0.11,0.67,0.44,0,0,2.0,2.17,0.83,1.33,3.0,1.33,0.67,1.33,3.33,2.33,0.67,2.33,3.0,1.33,0.67,1.33
E3,10/09/2016,Yeovil,Hartlepool,1,2,A,0.0,0.11,0.33,0.44,0,0,0.67,1.67,1.67,2.5,0.67,1.33,2.0,3.33,0.33,2.67,1.33,3.33,0.67,1.33,2.0,3.33
E3,17/09/2016,Accrington,Portsmouth,1,0,H,0.44,1.0,0.33,0.44,0,0,1.43,1.57,1.57,0.71,2.0,2.33,0.33,0.67,1.67,1.33,2.67,0.67,2.0,2.33,0.33,0.67
E3,17/09/2016,Barnet,Colchester,1,1,D,0.44,0.67,0.44,0.44,0,0,1.0,0.67,1.86,1.43,1.0,0.67,1.0,1.0,0.67,0.67,2.33,1.67,1.0,0.67,1.0,1.0
E3,17/09/2016,Blackpool,Carlisle,2,2,D,0.33,0.56,0.44,0.56,0,0,1.29,1.0,1.29,1.0,0.67,0.33,1.33,1.0,1.67,1.33,1.33,1.0,0.67,0.33,1.33,1.0
E3,17/09/2016,Cambridge,Morecambe,1,2,A,0.11,0.33,0.22,0.67,0,0,0.57,1.57,1.43,1.71,1.0,2.0,1.33,1.33,0.33,1.67,1.67,3.0,1.0,2.0,1.33,1.33
E3,17/09/2016,Cheltenham,Notts County,2,3,A,0.44,0.44,0.44,0.67,0,0,1.0,1.0,1.29,1.57,1.0,0.67,1.67,1.33,1.33,1.0,1.67,1.67,1.0,0.67,1.67,1.33
E3,17/09/2016,Crawley Town,Luton,2,0,H,0.0,0.67,0.44,0.67,0,0,0.86,1.43,2.14,1.0,1.0,1.33,2.33,0.67,0.67,2.67,2.67,1.0,1.0,1.33,2.33,0.67
E3,17/09/2016,Doncaster,Newport County,2,0,H,0.67,0.33,0.78,0.44,0,0,2.14,1.14,1.5,1.67,2.0,0.67,1.33,1.33,3.33,1.33,1.67,1.67,2.0,0.67,1.33,1.33
E3,17/09/2016,Exeter,Plymouth,0,2,A,0.33,1.0,0.0,0.67,0,0,0.86,1.57,1.14,0.86,0.33,1.33,1.0,0.67,1.0,1.67,1.33,0.33,0.33,1.33,1.0,0.67
E3,17/09/2016,Grimsby,Crewe,0,2,A,0.78,0.67,0.67,0.44,0,0,2.14,1.71,1.43,1.14,2.67,1.33,1.0,1.33,3.0,1.67,1.33,1.0,2.67,1.33,1.0,1.33
E3,17/09/2016,Hartlepool,Mansfield,0,0,D,0.44,0.44,0.22,0.67,0,0,1.71,2.29,1.0,1.0,1.33,1.67,1.67,1.67,1.67,3.0,0.67,0.67,1.33,1.67,1.67,1.67
E3,17/09/2016,Leyton Orient,Yeovil,0,1,A,0.44,0.0,0.33,0.11,0,0,1.57,1.14,0.71,1.71,1.33,1.0,0.67,2.0,1.67,1.67,0.67,3.0,1.33,1.0,0.67,2.0
E3,17/09/2016,Wycombe,Stevenage,1,0,H,0.0,0.67,0.44,0.11,0,0,0.86,1.86,2.0,2.0,1.0,1.33,1.0,3.0,1.0,3.33,3.33,2.33,1.0,1.33,1.0,3.0
E3,24/09/2016,Carlisle,Wycombe,1,0,H,0.33,0.33,0.33,0.11,0,0,1.38,1.12,0.88,1.62,1.25,1.0,0.75,2.25,1.67,1.67,1.33,2.67,1.33,1.33,1.0,2.67
E3,24/09/2016,Colchester,Accrington,1,2,A,0.44,0.78,0.67,0.56,0,0,1.75,1.38,1.38,1.38,2.5,1.75,1.0,1.0,2.0,2.0,1.33,0.33,2.67,2.33,1.33,0.67
E3,24/09/2016,Crewe,Blackpool,1,1,D,1.0,0.44,0.78,0.44,0,0,1.5,1.0,1.38,1.12,1.75,1.0,1.75,1.5,2.0,0.33,2.33,1.67,2.33,1.33,2.0,1.33
E3,24/09/2016,Luton,Doncaster,3,1,H,0.33,0.67,0.67,0.67,0,0,1.88,1.12,2.12,1.0,2.0,1.25,2.25,1.5,1.67,1.67,2.67,1.0,2.33,1.33,2.33,1.0
E3,24/09/2016,Mansfield,Grimsby,0,1,A,0.22,0.44,0.44,0.44,0,0,0.88,0.88,1.88,1.75,0.5,0.5,1.75,2.0,0.0,0.33,1.33,1.67,0.33,0.33,2.0,2.0
E3,24/09/2016,Morecambe,Crawley Town,2,3,A,0.33,0.33,0.33,0.33,0,0,1.5,1.62,1.0,1.25,1.5,2.0,0.75,1.5,1.33,2.67,1.0,1.67,1.33,2.33,0.67,1.67
E3,24/09/2016,Newport County,Cambridge,1,2,A,0.22,0.11,0.22,0.11,0,0,1.29,1.71,0.62,1.62,1.67,2.0,0.25,1.25,1.33,2.0,0.67,1.33,1.67,2.0,0.33,1.0
E3,24/09/2016,Notts County,Leyton Orient,3,1,H,0.44,0.44,0.11,0.78,0,0,1.5,1.62,1.38,1.12,1.0,1.75,1.75,1.25,1.67,2.0,1.33,1.33,1.0,2.0,2.0,1.33
E3,24/09/2016,Plymouth,Hartlepool,1,1,D,1.0,0.44,1.0,0.44,0,0,1.25,0.75,1.5,2.0,1.25,1.0,2.0,2.75,1.67,0.33,1.0,2.33,1.67,0.33,2.0,3.33
E3,24/09/2016,Portsmouth,Barnet,5,1,H,0.67,0.44,1.0,0.56,0,0,1.38,0.75,1.0,0.71,2.5,0.75,1.0,0.67,2.33,1.0,0.67,0.67,3.0,0.67,1.0,0.67
E3,24/09/2016,Stevenage,Exeter,0,2,A,0.67,0.33,1.0,0.67,0,0,1.75,1.88,0.75,1.62,2.75,1.25,1.25,1.75,2.67,1.0,1.0,2.0,3.33,1.0,1.67,1.67
E3,24/09/2016,Yeovil,Cheltenham,4,2,H,0.33,0.11,0.0,0.22,0,0,0.75,1.5,1.12,1.25,0.75,1.5,1.0,1.25,0.67,1.67,1.33,2.0,0.33,2.0,1.0,1.33
E3,27/09/2016,Accrington,Mansfield,1,1,D,1.0,0.11,0.33,0.44,0,0,1.44,1.33,0.78,0.89,1.75,1.75,1.25,1.25,1.67,0.33,0.0,0.67,1.33,1.67,0.67,1.0
E3,27/09/2016,Barnet,Morecambe,2,2,D,0.44,0.33,0.22,1.0,0,0,1.0,1.25,1.56,1.78,1.0,0.75,1.5,1.25,1.0,2.0,1.67,3.0,0.67,1.0,2.0,1.0
E3,27/09/2016,Blackpool,Portsmouth,3,1,H,0.22,0.67,0.22,0.33,0,0,1.33,1.11,1.78,0.78,1.0,0.75,0.25,0.75,1.67,2.0,3.0,1.33,0.67,1.0,0.33,1.0
E3,27/09/2016,Cambridge,Yeovil,1,0,H,0.33,0.67,0.11,0.33,0,0,0.78,1.56,1.11,1.56,1.0,2.0,0.75,1.5,1.33,1.67,2.0,1.33,1.0,2.33,0.67,1.67
E3,27/09/2016,Cheltenham,Stevenage,0,0,D,0.11,0.33,0.33,0.0,0,0,1.22,1.56,1.56,1.89,1.25,1.25,0.75,2.5,2.0,3.0,0.67,1.33,1.33,1.33,0.67,3.0
