Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
N1,29/09/2017,Twente,Heracles,2,1,H,0.33,0.33,0.5,0.17,0,0,1.0,1.33,1.67,1.83,2.5,1.0,1.0,1.5,1.33,0.67,1.67,2.33,2.5,1.0,1.0,1.5
N1,30/09/2017,Excelsior,VVV Venlo,0,2,A,0.33,0.33,0.0,0.56,0,1,1.17,1.5,1.33,1.0,0.33,2.0,1.33,1.0,1.0,1.67,1.0,1.0,0.33,2.0,1.33,1.0
N1,30/09/2017,NAC Breda,Den Haag,0,1,A,0.67,0.78,0.44,0.5,1,0,1.5,2.17,0.83,1.5,1.67,2.33,1.0,1.5,1.67,1.0,1.33,0.67,1.67,2.33,1.0,1.5
N1,30/09/2017,PSV Eindhoven,Willem II,4,0,H,0.67,0.33,1.0,0.33,0,0,2.83,1.0,1.0,2.33,2.0,0.67,1.0,2.67,2.67,1.0,1.67,1.67,2.0,0.67,1.0,2.67
N1,30/09/2017,Zwolle,Groningen,3,2,H,0.44,0.44,1.0,0.0,0,0,1.67,1.33,1.5,1.67,2.67,1.0,1.0,2.5,1.0,1.67,1.0,1.0,2.67,1.0,1.0,2.5
N1,01/10/2017,AZ Alkmaar,Feyenoord,0,4,A,0.67,0.33,0.67,0.67,0,0,1.67,1.17,2.0,1.0,1.33,1.0,1.67,1.0,1.33,1.0,1.33,1.67,1.33,1.0,1.67,1.0
N1,01/10/2017,Heerenveen,Ajax,0,4,A,1.0,0.44,0.67,0.44,0,0,2.0,1.17,1.83,1.0,1.5,0.5,1.33,1.0,2.0,0.67,1.67,1.0,1.5,0.5,1.33,1.0
N1,01/10/2017,Sparta Rotterdam,Roda,1,2,A,0.33,0.0,0.44,0.0,0,0,0.67,1.5,0.83,2.67,0.67,1.0,0.75,2.5,0.33,1.0,0.67,2.33,0.67,1.0,0.33,2.0
N1,01/10/2017,Vitesse,Utrecht,1,1,D,0.78,0.33,0.44,0.33,0,0,2.33,1.0,1.5,2.17,2.0,1.33,1.33,2.0,2.0,0.67,1.0,3.67,2.0,1.33,1.33,2.0
N1,14/10/2017,Ajax,Sparta Rotterdam,4,0,H,0.44,0.0,0.67,0.11,0,0,2.14,0.86,0.71,1.57,2.33,1.0,0.67,2.0,2.0,1.0,0.33,1.67,2.33,1.0,0.67,2.0
