Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
SC0,23/09/2017,Kilmarnock,Dundee,1,1,D,0.22,0.44,0.11,0.0,0,0,0.67,1.67,1.17,2.33,0.75,1.75,0.67,3.0,1.0,1.67,1.67,2.33,0.67,1.67,0.67,3.0
SC0,23/09/2017,Partick,Hearts,1,1,D,0.22,0.44,0.11,0.44,0,0,1.17,2.0,0.83,1.17,1.67,2.33,1.0,1.4,2.0,2.33,1.0,1.0,1.67,2.33,1.0,1.0
SC0,23/09/2017,Rangers,Celtic,0,2,A,0.78,0.78,0.44,1.0,0,0,2.17,1.33,2.67,0.5,2.0,1.33,2.33,0.33,3.0,1.33,3.0,0.67,2.0,1.33,2.33,0.33
SC0,23/09/2017,Ross County,Hibernian,0,1,A,0.11,0.33,0.11,0.56,0,1,0.83,2.17,1.83,1.67,1.0,2.0,1.67,1.33,0.67,2.67,1.33,1.33,1.0,2.0,1.67,1.33
SC0,23/09/2017,St Johnstone,Hamilton,2,1,H,0.22,0.11,0.78,0.44,0,0,1.83,1.17,1.67,1.83,2.0,0.67,1.67,1.67,1.33,1.67,1.33,2.67,2.0,0.67,1.67,1.67
SC0,24/09/2017,Motherwell,Aberdeen,0,1,A,0.78,0.56,1.0,0.78,0,0,1.67,1.5,1.83,1.0,1.75,0.75,2.0,1.33,2.0,1.0,1.67,1.33,2.0,0.33,2.0,1.33
SC0,29/09/2017,Hamilton,Rangers,1,4,A,0.0,0.44,0.33,0.78,0,0,1.57,1.86,1.86,1.43,1.67,2.0,2.33,1.33,1.0,2.67,2.0,1.67,1.67,2.0,2.33,1.33
SC0,30/09/2017,Aberdeen,St Johnstone,3,0,H,0.56,0.44,0.78,0.44,0,0,1.71,0.86,1.86,1.14,1.67,0.67,1.67,1.67,0.67,0.33,1.67,1.67,1.67,0.67,1.67,1.67
SC0,30/09/2017,Celtic,Hibernian,2,2,D,1.0,0.56,0.78,0.56,0,1,2.57,0.43,1.71,1.43,3.0,0.67,1.5,1.0,3.33,0.33,1.33,1.0,3.0,0.67,1.0,0.67
SC0,30/09/2017,Dundee,Hearts,2,1,H,0.44,0.56,0.44,0.44,0,0,1.14,2.14,0.86,1.14,1.67,1.67,1.0,1.33,1.67,2.33,1.0,0.67,1.67,1.67,1.33,1.33
SC0,30/09/2017,Kilmarnock,Ross County,0,2,A,0.22,0.11,0.22,0.33,0,0,0.71,1.57,0.71,2.0,0.8,1.6,0.67,2.33,0.67,1.33,0.33,2.0,1.0,1.67,0.67,2.33
SC0,30/09/2017,Motherwell,Partick,3,0,H,0.44,0.33,0.67,0.11,0,0,1.43,1.43,1.14,1.86,1.4,0.8,0.67,1.67,1.33,1.0,1.33,1.33,1.33,0.67,0.67,1.67
SC0,13/10/2017,St Johnstone,Rangers,0,3,A,0.33,0.44,0.78,0.78,0,0,1.62,1.38,2.12,1.38,2.0,0.75,2.75,1.25,1.33,2.33,2.0,1.67,1.33,0.67,3.0,1.33
SC0,14/10/2017,Celtic,Dundee,1,0,H,0.78,0.78,0.56,0.11,0,0,2.5,0.62,1.25,2.0,2.75,1.0,0.75,2.5,2.67,0.67,2.0,1.33,2.33,1.0,1.0,2.33
SC0,14/10/2017,Hamilton,Motherwell,1,2,A,0.0,0.44,0.0,0.17,0,0,1.5,2.12,1.62,1.25,1.5,2.5,1.5,3.0,1.0,2.67,1.67,1.0,1.0,3.33,1.5,3.0
SC0,14/10/2017,Hibernian,Aberdeen,0,1,A,0.56,0.78,0.44,0.78,1,0,1.75,1.5,1.88,0.75,2.0,2.0,1.75,1.0,1.67,1.33,1.67,0.33,2.0,2.0,1.67,1.0
SC0,14/10/2017,Partick,Kilmarnock,0,2,A,0.22,0.22,0.22,0.17,0,0,1.0,2.0,0.62,1.62,1.5,2.0,0.5,1.5,1.0,2.0,0.67,1.33,2.0,2.33,0.5,1.5
SC0,14/10/2017,Ross County,Hearts,1,2,A,0.33,0.44,0.11,0.44,0,0,0.88,1.75,0.88,1.25,0.75,1.75,1.0,1.43,0.67,1.67,1.33,1.33,0.67,1.67,1.33,1.33
SC0,21/10/2017,Hearts,St Johnstone,1,0,H,0.44,0.33,0.33,0.11,0,0,1.0,1.22,1.44,1.56,0.0,0.0,1.25,2.0,1.33,1.33,0.67,2.33,0.0,0.0,1.0,2.33
SC0,21/10/2017,Partick,Dundee,2,1,H,0.11,0.44,0.22,0.11,0,0,0.89,2.0,1.11,1.89,1.2,2.0,0.6,2.2,0.33,2.0,1.0,1.0,1.0,1.67,0.67,2.0
SC0,21/10/2017,Ross County,Hamilton,2,1,H,0.33,0.0,0.11,0.44,0,0,0.89,1.78,1.44,2.11,0.8,1.8,1.5,1.75,1.0,1.0,1.0,2.67,0.67,1.33,2.0,1.67
SC0,24/10/2017,Hamilton,Partick,0,0,D,0.0,0.33,0.0,0.11,0,0,1.4,2.1,1.0,1.9,1.4,2.4,0.5,2.0,1.0,2.67,0.67,2.0,1.0,2.67,0.33,1.67
SC0,24/10/2017,Hibernian,Hearts,1,0,H,0.44,0.67,0.11,0.44,1,0,1.56,1.44,1.0,1.1,1.5,1.75,1.12,1.38,1.0,1.0,1.33,1.0,1.0,2.0,1.33,1.33
SC0,24/10/2017,St Johnstone,Ross County,0,0,D,0.0,0.67,0.44,0.33,0,0,1.3,1.5,1.0,1.7,1.6,1.2,1.0,1.75,0.0,2.33,1.67,1.0,1.0,1.67,0.67,2.0
SC0,25/10/2017,Aberdeen,Celtic,0,3,A,1.0,0.78,0.78,1.0,0,0,1.78,0.67,2.33,0.56,2.0,0.5,2.25,0.25,1.67,0.0,1.67,0.67,2.0,0.67,2.67,0.33
SC0,25/10/2017,Dundee,Motherwell,0,1,A,0.33,0.67,0.78,0.44,0,0,1.1,1.9,1.67,1.22,1.75,1.5,1.67,2.33,1.0,1.33,1.67,0.67,2.0,1.33,1.67,2.33
SC0,25/10/2017,Rangers,Kilmarnock,1,1,D,0.67,0.44,0.44,0.44,0,0,2.22,1.22,0.78,1.44,1.5,1.5,1.0,1.0,2.33,1.0,1.0,1.0,1.33,1.0,1.0,1.0
SC0,28/10/2017,Aberdeen,Ross County,2,1,H,0.67,0.44,0.44,0.44,0,0,1.6,0.9,0.91,1.55,1.6,1.0,0.8,1.4,1.33,1.0,1.0,1.0,1.33,1.33,0.67,1.33
SC0,28/10/2017,Celtic,Kilmarnock,1,1,D,0.78,0.44,0.78,0.56,0,0,2.4,0.5,0.8,1.4,2.4,0.8,1.0,1.0,2.0,0.67,1.0,1.0,2.33,0.67,1.33,0.67
