Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
F1,25/09/2018,Monaco,Angers,0,1,A,0.22,0.78,0.22,0.33,0,0,1.33,1.33,1.33,1.5,1.0,1.33,1.33,1.67,1.33,1.67,1.33,0.33,1.0,1.33,1.33,1.67
F1,25/09/2018,Nantes,Nice,1,2,A,0.44,0.67,0.22,0.44,0,0,1.0,1.67,0.67,1.33,0.67,1.33,0.67,0.67,1.33,1.33,1.0,0.67,0.67,1.33,0.67,0.67
F1,25/09/2018,Toulouse,St Etienne,2,3,A,0.56,0.44,0.78,0.22,0,0,1.0,1.17,0.83,1.17,1.33,0.67,0.33,1.67,1.0,0.67,0.67,1.67,1.33,0.67,0.33,1.67
F1,26/09/2018,Amiens,Rennes,2,1,H,0.11,0.33,0.33,0.11,0,0,1.33,1.83,1.33,1.67,2.33,2.0,1.33,2.33,1.0,2.0,1.33,1.67,2.33,2.0,1.33,2.33
F1,26/09/2018,Bordeaux,Lille,1,0,H,0.44,0.67,0.44,0.44,0,0,1.5,1.83,1.83,0.83,1.67,2.0,1.0,1.0,2.0,2.0,1.67,1.33,1.67,2.0,1.0,1.0
F1,26/09/2018,Caen,Montpellier,2,2,D,0.44,0.78,0.33,1.0,0,0,1.17,1.5,1.0,0.67,1.5,1.5,1.5,0.5,1.67,1.33,1.0,0.33,1.5,1.5,1.5,0.5
F1,26/09/2018,Dijon,Lyon,0,3,A,0.11,0.44,0.33,0.17,0,0,1.5,1.0,1.67,1.0,1.0,1.67,1.0,1.5,0.33,1.67,2.0,1.67,1.0,1.67,1.0,1.5
F1,26/09/2018,Marseille,Strasbourg,3,2,H,0.67,0.44,0.78,0.44,0,0,2.67,1.83,1.5,1.33,3.33,0.67,1.0,1.0,3.0,2.0,2.0,1.67,3.33,0.67,1.0,1.0
F1,26/09/2018,Nimes,Guingamp,0,0,D,0.22,0.0,0.5,0.0,1,0,2.17,2.17,0.67,2.83,2.5,2.5,0.33,3.0,2.0,2.67,0.67,3.0,2.5,2.5,0.33,3.0
F1,26/09/2018,Paris SG,Reims,4,1,H,1.0,0.22,1.0,0.44,0,1,3.33,0.83,0.5,0.83,3.33,0.33,0.67,1.33,3.67,1.0,0.0,0.33,3.33,0.33,0.67,1.33
F1,28/09/2018,St Etienne,Monaco,2,0,H,0.67,0.22,0.78,0.44,0,0,1.14,1.29,1.14,1.29,1.33,0.67,1.67,1.33,1.67,2.33,0.67,1.0,1.33,0.67,1.67,1.33
F1,29/09/2018,Angers,Guingamp,0,1,A,0.78,0.11,0.44,0.11,0,0,1.29,1.29,0.57,2.43,1.33,1.33,0.25,2.25,1.33,0.33,0.33,2.33,1.33,1.33,0.0,2.33
F1,29/09/2018,Caen,Amiens,1,0,H,0.22,0.33,0.33,0.11,0,0,1.29,1.57,1.43,1.71,1.67,1.67,0.33,1.67,1.67,2.0,1.67,2.33,1.67,1.67,0.33,1.67
F1,29/09/2018,Lyon,Nantes,1,1,D,0.78,0.11,0.67,0.33,0,0,1.86,0.86,1.0,1.71,2.0,0.75,1.33,2.0,3.0,1.33,0.67,1.33,2.0,1.0,1.33,2.0
F1,29/09/2018,Nice,Paris SG,0,3,A,0.67,1.0,0.33,1.0,0,0,0.86,1.29,3.43,0.86,0.67,2.0,3.33,1.33,1.33,1.0,3.67,0.67,0.67,2.0,3.33,1.33
F1,29/09/2018,Reims,Bordeaux,0,0,D,0.22,0.78,0.44,0.33,1,0,0.57,1.29,1.43,1.57,0.33,0.33,1.33,1.67,0.33,1.33,2.33,1.33,0.33,0.33,1.33,1.67
F1,29/09/2018,Strasbourg,Dijon,3,0,H,0.44,0.11,0.44,0.78,0,0,1.57,1.57,1.29,1.29,2.0,1.67,2.0,0.33,2.0,1.67,0.33,2.0,2.0,1.67,2.0,0.33
F1,30/09/2018,Lille,Marseille,3,0,H,0.67,0.67,1.0,0.33,0,0,1.57,0.86,2.71,1.86,2.67,0.67,2.0,3.0,1.67,1.33,3.0,2.0,2.67,0.67,2.0,3.0
F1,30/09/2018,Montpellier,Nimes,3,0,H,0.56,0.33,0.56,0.22,0,1,1.14,0.86,1.86,1.86,0.75,0.75,2.0,2.0,1.33,1.0,1.33,1.33,0.67,0.33,1.33,1.67
F1,30/09/2018,Rennes,Toulouse,1,1,D,0.0,0.22,0.67,0.44,0,0,1.29,1.71,1.14,1.43,1.33,1.0,0.67,1.67,1.0,2.33,1.0,1.33,1.33,1.0,0.67,1.67
F1,05/10/2018,Toulouse,Nice,1,1,D,0.22,0.33,0.44,0.67,0,0,1.12,1.38,0.75,1.5,1.5,1.25,1.0,0.75,1.0,1.33,0.67,1.67,1.33,1.33,1.0,0.67
F1,06/10/2018,Amiens,Dijon,1,0,H,0.33,0.11,0.67,0.44,0,0,1.25,1.62,1.12,1.5,2.25,1.75,1.5,1.0,1.0,1.67,0.0,2.0,2.67,1.67,1.33,1.0
F1,06/10/2018,Angers,Strasbourg,2,2,D,0.44,0.67,0.44,0.11,0,0,1.12,1.25,1.75,1.38,1.0,1.25,1.25,1.5,0.33,0.33,2.67,1.33,0.33,0.33,1.0,2.0
F1,06/10/2018,Guingamp,Montpellier,1,1,D,0.44,0.78,0.0,0.78,0,0,0.62,2.12,1.38,0.75,1.0,2.67,1.67,1.0,0.67,1.0,2.0,0.67,1.0,2.67,1.67,1.0
