Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
D1,13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1,D,0.33,0.78,0.0,1.0,0,0,1.67,2.0,2.0,0.67,1.0,3.0,3.0,0.0,1.67,2.0,2.0,0.67,1.0,3.0,3.0,0.0
D1,14/09/2019,Augsburg,Ein Frankfurt,2,1,H,0.11,0.67,0.33,0.0,0,0,1.33,3.0,1.33,1.0,1.0,1.0,1.0,2.0,1.33,3.0,1.33,1.0,1.0,1.0,1.0,2.0
D1,14/09/2019,Dortmund,Leverkusen,4,0,H,0.67,0.78,1.0,1.0,0,0,3.0,1.67,2.0,1.0,5.0,1.0,3.0,1.0,3.0,1.67,2.0,1.0,5.0,1.0,3.0,1.0
D1,14/09/2019,FC Koln,M'gladbach,0,1,A,0.33,0.44,0.0,1.0,1,0,1.33,2.0,1.33,1.33,1.0,3.0,3.0,1.0,1.33,2.0,1.33,1.33,1.0,3.0,3.0,1.0
D1,14/09/2019,Mainz,Hertha,2,1,H,0.0,0.11,0.0,0.17,0,0,0.67,4.0,0.67,2.67,1.0,3.0,1.0,2.5,0.67,4.0,0.67,2.67,1.0,3.0,1.0,2.5
D1,14/09/2019,Union Berlin,Werder Bremen,1,2,A,0.44,0.33,0.5,0.0,1,0,1.33,2.0,2.0,2.67,1.5,2.5,2.0,3.0,1.33,2.0,2.0,2.67,1.5,2.5,2.0,3.0
D1,14/09/2019,RB Leipzig,Bayern Munich,1,1,D,1.0,0.78,1.0,1.0,0,0,3.0,0.67,3.67,1.0,2.0,1.0,3.0,0.0,3.0,0.67,3.67,1.0,2.0,1.0,3.0,0.0
D1,15/09/2019,Hoffenheim,Freiburg,0,3,A,0.44,0.67,1.0,1.0,0,0,1.0,1.0,2.33,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.33,1.0,3.0,2.0,3.0,1.0
D1,15/09/2019,Paderborn,Schalke 04,1,5,A,0.11,0.44,0.0,0.33,1,0,1.33,2.33,1.0,1.0,1.0,3.0,0.0,0.0,1.33,2.33,1.0,1.0,1.0,3.0,0.0,0.0
D1,20/09/2019,Schalke 04,Mainz,2,1,H,0.67,0.33,0.5,0.0,0,0,2.0,1.0,1.0,3.25,1.5,1.5,0.5,4.5,2.67,1.33,1.33,3.33,1.5,1.5,0.5,4.5
D1,21/09/2019,Bayern Munich,FC Koln,4,0,H,0.78,0.33,0.67,0.5,0,1,3.0,1.0,1.0,1.75,4.0,1.5,1.5,1.5,3.33,0.67,1.0,1.67,4.0,1.5,1.5,1.5
D1,21/09/2019,Freiburg,Augsburg,1,1,D,0.67,0.44,0.5,0.0,0,0,2.5,0.75,1.5,2.5,2.0,1.0,1.5,4.0,2.33,1.0,1.67,1.67,2.0,1.0,1.5,4.0
D1,21/09/2019,Hertha,Paderborn,2,1,H,0.0,0.11,0.0,0.17,0,1,0.75,2.5,1.25,3.0,0.0,3.0,1.5,2.0,0.33,2.67,1.0,3.0,0.0,3.0,1.5,2.0
D1,21/09/2019,Leverkusen,Union Berlin,2,0,H,0.44,0.44,0.67,0.33,0,1,1.5,1.75,1.25,2.0,1.5,1.0,1.0,1.0,1.0,1.67,1.67,1.33,1.5,1.0,1.0,1.0
D1,21/09/2019,Werder Bremen,RB Leipzig,0,3,A,0.67,0.78,0.5,1.0,0,0,2.0,2.25,2.5,0.75,2.0,2.5,3.5,0.5,2.33,2.0,2.0,1.0,2.0,2.5,3.5,0.5
D1,22/09/2019,M'gladbach,Fortuna Dusseldorf,2,1,H,0.67,0.11,0.17,0.5,0,0,1.25,1.0,1.5,1.75,0.5,1.5,2.0,1.5,1.67,1.33,1.0,2.0,0.5,1.5,2.0,1.5
D1,22/09/2019,Ein Frankfurt,Dortmund,2,2,D,0.33,0.67,1.0,0.5,0,0,1.25,1.25,3.25,1.25,1.5,0.5,2.0,2.0,1.33,1.67,2.67,1.33,1.5,0.5,2.0,2.0
D1,23/09/2019,Wolfsburg,Hoffenheim,1,1,D,0.56,0.44,0.67,0.17,0,0,1.75,0.75,0.75,1.5,1.5,1.0,0.0,0.5,1.67,0.67,1.0,1.67,1.5,1.0,0.0,0.5
D1,27/09/2019,Union Berlin,Ein Frankfurt,1,2,A,0.33,0.44,0.33,0.0,1,0,1.0,2.0,1.4,1.4,1.33,2.33,1.0,2.0,1.33,1.67,1.67,1.67,1.33,2.33,1.0,2.0
D1,28/09/2019,Augsburg,Leverkusen,0,3,A,0.44,0.44,0.67,0.5,0,0,1.4,2.2,1.6,1.4,1.5,1.0,1.5,2.5,1.67,1.67,0.67,1.33,1.5,1.0,1.5,2.5
D1,28/09/2019,Hoffenheim,M'gladbach,0,3,A,0.22,0.67,0.5,1.0,0,0,0.8,1.4,1.4,1.0,1.5,2.5,2.0,0.5,0.33,1.33,1.33,1.33,1.5,2.5,2.0,0.5
D1,28/09/2019,Mainz,Wolfsburg,0,1,A,0.33,0.33,0.5,0.67,0,0,1.0,3.0,1.6,0.8,1.5,2.0,2.0,0.5,1.33,3.0,1.0,1.0,1.5,2.0,2.0,0.5
D1,28/09/2019,Paderborn,Bayern Munich,2,3,A,0.11,0.78,0.0,0.67,1,0,1.2,2.8,3.2,0.8,1.0,4.0,2.0,0.5,1.0,2.67,3.67,0.67,1.0,4.0,2.0,0.5
D1,28/09/2019,RB Leipzig,Schalke 04,1,3,A,0.78,1.0,0.67,0.67,0,0,2.6,0.6,2.0,1.0,1.5,1.0,2.5,0.5,2.33,0.67,3.33,0.67,1.5,1.0,2.5,0.5
D1,28/09/2019,Dortmund,Werder Bremen,2,2,D,0.44,0.67,1.0,0.5,0,0,3.0,1.4,1.6,2.4,4.5,0.5,2.0,2.0,2.33,1.67,1.67,2.0,4.5,0.5,2.0,2.0
D1,29/09/2019,Fortuna Dusseldorf,Freiburg,1,2,A,0.11,0.44,0.17,1.0,0,0,1.4,1.8,2.2,0.8,1.0,2.0,3.0,0.5,1.0,1.67,1.67,1.0,1.0,2.0,3.0,0.5
D1,29/09/2019,FC Koln,Hertha,0,4,A,0.33,0.33,0.0,0.11,1,0,0.8,2.2,1.0,2.2,0.5,2.0,1.0,2.33,0.67,2.0,1.0,2.0,0.5,2.0,1.0,2.33
D1,04/10/2019,Hertha,Fortuna Dusseldorf,3,1,H,0.67,0.11,0.5,0.33,0,0,1.5,1.83,1.33,1.83,1.0,2.0,1.67,1.67,2.33,1.0,1.0,1.67,1.0,2.0,1.67,1.67
D1,05/10/2019,Bayern Munich,Hoffenheim,1,2,A,0.78,0.11,0.78,0.22,0,0,3.17,1.0,0.67,1.67,4.0,1.0,0.33,0.67,2.67,1.0,0.33,2.33,4.0,1.0,0.33,0.67
D1,05/10/2019,Freiburg,Dortmund,2,2,D,0.78,0.56,0.44,0.44,0,0,2.17,0.83,2.83,1.5,1.67,1.0,2.0,2.0,2.0,0.67,2.67,1.33,1.67,1.0,2.0,2.0
D1,05/10/2019,Leverkusen,RB Leipzig,1,1,D,0.67,0.44,0.78,1.0,0,0,1.83,1.17,2.33,1.0,1.67,0.67,3.33,0.33,1.67,1.33,1.67,1.33,1.67,0.67,3.33,0.33
D1,05/10/2019,Paderborn,Mainz,1,2,A,0.0,0.33,0.0,0.0,1,0,1.33,2.83,0.83,2.67,1.33,3.67,0.67,3.67,1.33,3.33,1.0,1.33,1.33,3.67,0.67,3.67
D1,05/10/2019,Schalke 04,FC Koln,1,1,D,1.0,0.0,0.67,0.33,0,1,2.17,1.0,0.67,2.5,1.67,1.33,1.0,2.33,3.33,1.0,0.0,3.0,1.67,1.33,1.0,2.33
D1,06/10/2019,M'gladbach,Augsburg,5,1,H,1.0,0.44,0.44,0.11,0,0,1.67,0.83,1.17,2.33,1.0,1.33,1.33,3.0,2.0,0.33,1.0,1.67,1.0,1.33,1.33,3.0
D1,06/10/2019,Wolfsburg,Union Berlin,1,0,H,0.56,0.0,0.56,0.17,0,1,1.5,0.67,1.0,2.0,1.33,1.0,0.5,1.5,1.0,0.67,0.67,2.0,1.33,1.0,0.5,1.5
D1,06/10/2019,Ein Frankfurt,Werder Bremen,2,2,D,0.44,0.44,0.78,0.44,0,0,1.5,1.33,1.67,2.33,1.67,1.0,2.0,2.0,1.67,1.67,1.33,2.0,1.67,1.0,2.0,2.0
D1,18/10/2019,Ein Frankfurt,Leverkusen,3,0,H,0.56,0.78,0.56,0.67,0,0,1.57,1.43,1.71,1.14,1.75,1.25,2.0,1.67,2.0,1.67,2.0,0.33,2.0,1.67,2.0,1.67
D1,19/10/2019,Augsburg,Bayern Munich,2,2,D,0.11,0.67,0.44,0.78,0,0,1.14,2.71,2.86,1.14,1.0,1.67,2.33,1.0,0.67,3.0,2.67,1.33,1.0,1.67,2.33,1.0
D1,19/10/2019,Fortuna Dusseldorf,Mainz,1,0,H,0.0,0.33,0.11,0.33,0,0,1.29,2.0,1.0,2.43,1.0,2.0,1.0,3.0,1.0,2.33,1.0,1.33,1.0,2.0,1.33,3.0
