Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
I1,20/09/2019,Cagliari,Genoa,3,1,H,0.33,0.44,0.0,0.33,0,0,1.33,1.33,2.0,2.0,0.5,1.5,3.0,3.0,1.33,1.33,2.0,2.0,0.5,1.5,3.0,3.0
I1,21/09/2019,Udinese,Brescia,0,1,A,0.33,0.33,0.5,0.5,0,1,0.67,1.33,1.33,1.67,1.0,1.5,0.5,0.5,0.67,1.33,1.33,1.67,1.0,1.5,0.5,0.5
I1,21/09/2019,Juventus,Verona,2,1,H,0.78,0.44,1.0,1.0,0,1,1.67,1.0,0.67,0.67,4.0,3.0,1.0,0.0,1.67,1.0,0.67,0.67,4.0,3.0,1.0,0.0
I1,21/09/2019,Milan,Inter,0,2,A,0.67,1.0,1.0,1.0,0,0,0.67,0.33,2.33,0.33,1.0,0.0,2.0,1.0,0.67,0.33,2.33,0.33,1.0,0.0,2.0,1.0
I1,22/09/2019,Sassuolo,Spal,3,0,H,0.33,0.33,1.0,0.0,0,0,2.33,2.33,1.33,1.67,4.0,1.0,0.0,1.0,2.33,2.33,1.33,1.67,4.0,1.0,0.0,1.0
I1,22/09/2019,Bologna,Roma,1,2,A,0.78,0.56,1.0,0.33,0,0,2.0,1.33,2.67,2.0,1.0,0.0,1.0,1.0,2.0,1.33,2.67,2.0,1.0,0.0,1.0,1.0
I1,22/09/2019,Lecce,Napoli,1,4,A,0.33,0.67,0.0,0.5,1,0,0.67,2.0,3.0,2.33,0.0,1.0,3.5,3.5,0.67,2.0,3.0,2.33,0.0,1.0,3.5,3.5
I1,22/09/2019,Sampdoria,Torino,1,0,H,0.0,0.67,0.0,1.0,0,0,0.33,3.0,2.0,1.67,0.0,3.0,3.0,2.0,0.33,3.0,2.0,1.67,0.0,3.0,3.0,2.0
I1,22/09/2019,Atalanta,Fiorentina,2,2,D,0.67,0.11,0.0,0.0,0,0,2.33,2.0,1.33,2.0,2.0,3.0,1.0,2.0,2.33,2.0,1.33,2.0,2.0,3.0,1.0,2.0
I1,22/09/2019,Lazio,Parma,2,0,H,0.44,0.33,0.33,1.0,0,0,1.67,1.0,1.33,1.67,1.0,1.0,3.0,1.0,1.67,1.0,1.33,1.67,1.0,1.0,3.0,1.0
I1,24/09/2019,Verona,Udinese,0,0,D,0.33,0.0,0.17,0.0,1,0,0.75,1.0,0.5,1.25,0.5,1.0,0.0,1.0,0.67,1.0,0.33,1.67,0.5,1.0,0.0,1.0
I1,24/09/2019,Brescia,Juventus,1,2,A,0.33,0.78,0.0,0.67,1,0,1.25,1.25,1.75,1.0,3.0,4.0,0.5,0.0,1.33,1.67,2.0,1.33,3.0,4.0,0.5,0.0
I1,25/09/2019,Roma,Atalanta,0,2,A,0.78,0.44,0.67,1.0,0,0,2.5,1.75,2.25,2.0,3.5,2.5,2.5,1.5,2.33,1.33,2.0,2.0,3.5,2.5,2.5,1.5
I1,25/09/2019,Fiorentina,Sampdoria,2,1,H,0.22,0.33,0.17,0.0,0,0,1.5,2.0,0.5,2.25,1.5,2.0,0.5,3.0,1.0,1.33,0.67,2.0,1.5,2.0,0.5,3.0
I1,25/09/2019,Genoa,Bologna,0,0,D,0.33,0.67,0.5,0.67,0,0,1.75,2.25,1.75,1.5,1.5,1.5,2.5,2.0,1.33,2.0,2.0,1.67,1.5,1.5,2.5,2.0
I1,25/09/2019,Inter,Lazio,1,0,H,1.0,0.44,1.0,0.5,0,0,2.25,0.25,1.75,0.75,2.5,0.0,2.0,1.0,1.67,0.33,1.33,1.0,2.5,0.0,2.0,1.0
I1,25/09/2019,Napoli,Cagliari,0,1,A,0.67,0.67,1.0,1.0,0,0,3.25,2.0,1.75,1.25,2.0,0.0,3.0,1.0,3.0,1.67,2.33,1.33,2.0,0.0,3.0,1.0
I1,25/09/2019,Parma,Sassuolo,1,0,H,0.33,0.67,0.0,0.0,0,0,1.0,1.75,2.5,1.75,0.5,2.0,1.5,3.0,1.33,2.0,3.0,1.67,0.5,2.0,1.5,3.0
I1,25/09/2019,Spal,Lecce,1,3,A,0.33,0.33,0.5,0.5,0,1,1.0,2.0,0.75,2.5,2.0,2.0,1.0,2.5,0.67,1.67,1.0,2.0,2.0,2.0,1.0,2.5
I1,26/09/2019,Torino,Milan,2,1,H,0.33,0.67,0.5,0.5,0,0,1.5,1.5,0.5,0.75,1.5,1.5,0.5,0.5,1.33,1.67,0.67,0.67,1.5,1.5,0.5,0.5
I1,28/09/2019,Juventus,Spal,2,0,H,0.78,0.33,1.0,0.0,0,0,1.8,1.0,1.0,2.2,3.0,2.0,0.0,2.0,1.33,0.67,1.0,2.33,3.0,2.0,0.0,2.0
I1,28/09/2019,Sampdoria,Inter,1,3,A,0.33,1.0,0.5,1.0,0,0,0.6,2.2,2.0,0.2,0.5,1.5,2.0,0.5,0.67,1.33,1.33,0.0,0.5,1.5,2.0,0.5
